"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","616","test_my_images[my_images_upload_success]","tests","Sat May 23 11:09:18 CST 2026","passed","Sat May 23 11:09:18 CST 2026","TestMyImages","test_my_images","",""
"","118","test_image_search[image_search_disable_without_image]","tests","Sat May 23 11:09:24 CST 2026","passed","Sat May 23 11:09:24 CST 2026","TestImageSearch","test_image_search","",""
"","39696","test_merge[merge_result_visible]","tests","Sat May 23 11:10:11 CST 2026","passed","Sat May 23 11:10:50 CST 2026","TestMerge","test_merge","",""
"","604","test_records[records_user_dropdown]","tests","Sat May 23 11:11:08 CST 2026","passed","Sat May 23 11:11:09 CST 2026","TestRecords","test_records","",""
"","614","test_image_search[image_search_user_dropdown]","tests","Sat May 23 11:09:26 CST 2026","passed","Sat May 23 11:09:27 CST 2026","TestImageSearch","test_image_search","",""
"","127","test_image_search[image_search_menu_highlight]","tests","Sat May 23 11:09:26 CST 2026","passed","Sat May 23 11:09:26 CST 2026","TestImageSearch","test_image_search","",""
"","148","test_image_search[image_search_enable_button]","tests","Sat May 23 11:09:24 CST 2026","passed","Sat May 23 11:09:24 CST 2026","TestImageSearch","test_image_search","",""
"","612","test_edit[edit_jump_images]","tests","Sat May 23 11:10:04 CST 2026","passed","Sat May 23 11:10:04 CST 2026","TestEdit","test_edit","",""
"","47","test_merge[merge_placeholder]","tests","Sat May 23 11:11:04 CST 2026","passed","Sat May 23 11:11:04 CST 2026","TestMerge","test_merge","",""
"","616","test_merge[merge_jump_records]","tests","Sat May 23 11:11:04 CST 2026","passed","Sat May 23 11:11:04 CST 2026","TestMerge","test_merge","",""
